Chimpanzee,Gorilla,Human,Marmoset,Rhesus,neighborhood_label
11262,16336,14124,17114,13492,glia
66012,71620,76520,42312,41057,it_types
3516,5892,9333,4814,5913,l5et_l56np_l6ct_l6b
14278,21112,17304,5177,14641,lamp5_sncg_vip
14028,20608,24501,6444,14033,sst_sst_chodl_pvalb
